template_id,template,occurrences
117,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 299b4572-c29a-45fb-b7df-824666bde03d] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,3
118,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 63036434-8b9a-4a24-999d-540f51a7b43e] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
119,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: daf33c72-1589-403d-a5f9-fc685d7a1f72] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,5
120,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 0ca7d195-0715-4c5c-a603-04fa1cf2fc83] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
121,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: daaa2970-89ba-4330-8e5b-774c6d636570] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
122,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 05aab6c8-0298-43a3-b439-102d389a632d] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,3
123,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: f03f6011-4901-450a-88d3-425f9398221a] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
124,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 44fa8023-5aa1-469d-a533-73da7a35418c] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
125,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 8ebf0386-a998-4164-ba52-1cef1209ec15] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
126,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 9c9c9fd8-bef9-4fb4-835f-6be8ba1d20b9] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
127,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 46a7d0ed-379a-49c2-abc6-b1c75601bfe9] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
128,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: df35feb8-79e3-4c60-af8e-85bb278e2076] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
129,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 664224b3-5fe7-4d94-880a-3b39285b1f90] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
130,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: cf03987c-f2cd-44ce-b877-7151b9929bcd] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
131,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 09d0f62d-7fe1-4cfa-9fde-41b9e9cd3c23] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
132,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 0ab0fcd4-1a88-46f1-b007-e0e07b9399a3] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
133,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 4ac5aa23-b924-453a-a0f1-85ce8bd12432] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
134,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 04f10ff4-a5fb-4e37-b8cf-c7a6efc242f4] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
135,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: b3718a37-1a9f-48df-89f7-8c42661ec3a8] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
136,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: e128341d-b2c8-4edd-b80f-d1c70b303500] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
137,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 7e67a1c0-f296-458e-9e2c-1d96afdf3051] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,3
138,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 4a968ed4-bc85-4ef5-83b2-cba5060bafa5] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
139,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 7eb500e0-477a-4997-b827-d28ab286cf0c] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
140,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 04f61cf7-b995-4632-88a7-8b2b56305fb7] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
141,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 9a1d8c51-be5d-4a87-b59b-0be0262ec487] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,5
142,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 04c96eea-5666-4c95-bc33-bebd1c0d2f39] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
143,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 611f95d7-dfa2-4587-92a9-203cf70db960] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
144,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 14fd1ce7-ad9d-432f-89e2-ca36119aa284] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
145,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: f0668cd4-e78a-4fa9-9724-094e385c6dbb] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
146,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: d10bdaf5-08a2-4dee-8535-86a9fc013c0d] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
147,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: f15c5e04-169c-4484-8041-c4d4d86a7d2b] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
148,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 58da1c37-c65a-4240-8ad8-9223470084f1] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
149,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 9c06017f-fd04-47f4-9c83-7bf35b6d5e9b] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
150,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 322a408a-1634-4800-b3d5-b62e7a9cc2ab] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
151,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 2f2fbbd9-db59-48c9-9119-91edfffd04c0] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
152,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 95bcbad0-0f31-4cfe-a4cb-c41a24c03d87] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
153,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: d7c7b763-9427-47d2-ace3-08035a001514] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
154,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 544fd51c-4edc-4780-baae-ba1d80a0acfc] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
155,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: ae651dff-c7ad-43d6-ac96-bbcd820ccca8] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
156,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 90b447c2-73bd-49fd-bf8c-358c7e16db84] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
157,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 56abb95b-c1e8-4e00-a172-31ccd11bbb46] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,3
158,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 620fe77d-bd27-4f1c-af47-0e09596b3fa3] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
159,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: f49bf478-6840-49bc-9d59-80cb8066e190] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
160,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 3767ce86-aa8a-4339-b38f-e4c3d166a4f9] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
161,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 9a99a4d5-4276-47ae-be46-04130b669f84] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
162,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 8e7e780d-6e6f-4344-96e8-06baf256211d] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
163,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 96d9b9d1-5b9b-47f4-a693-f752a845c2db] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
164,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 5f15892f-b15b-4ad4-9097-05d02f7627a8] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
165,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 41e0459c-4095-4932-9e4a-f5bcaff08d23] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
166,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: bdce6493-3038-467b-af24-871c889464dc] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
167,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: c26c0da7-5b1f-4b2c-8286-a152d69a449a] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
168,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 657e9e59-0d1a-4043-b413-5f8912e6fecb] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,3
169,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: aa47a63c-6ec2-40ff-a523-ed316c2f59b1] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
170,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 7cf01089-eb76-48c5-a272-6ccad4ff738d] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
171,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: f8fc6ae0-8f80-40f0-8fda-61240a221847] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,3
172,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: b7ceef8b-1ee8-480d-92fe-fc6336a421e4] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
173,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: f7d838e7-64de-430b-9201-1727d4370d0d] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
174,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 48ebb1a4-59bf-4958-a6e8-99cedc1904fb] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
175,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 500cf780-a46a-416e-b61d-6be88bfe48eb] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
176,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: ce6a597a-f627-437f-bb1f-dfd3170c1634] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
177,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 6765b529-ee7d-46df-8264-d9a5b306f2eb] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
178,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 32546cbe-eed6-49e5-8f00-52a865a79a1e] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
179,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 67b8547d-ec40-4a9f-a264-5dcb7af6de7e] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
180,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 20edf3a0-83c4-4769-8266-03fce86b4df0] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
181,<*> <*> <*> 2931 INFO nova.compute.manager [req-3ea4052c-895d-4b64-9e2d-04d64c4d94ab - - - - -] [instance: <*> During sync_power_state the instance has a pending task (spawning). Skip.,3683
182,<*> <*> <*> 2931 INFO nova.compute.manager <*> 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] [instance: <*> Took <*> seconds to <*> the instance on the hypervisor.,3820
183,<*> <*> <*> 2931 INFO <*> <*> 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] [instance: <*> <*> <*>,5729
184,<*> <*> <*> 2931 INFO nova.virt.libvirt.driver <*> 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] [instance: <*> <*> <*> <*> <*>,3818
185,"<*> 2017-05-16 <*> <*> INFO <*> <*> <*> <*> - - -] <*> <*> <*> HTTP/1.1"" status: <*> len: <*> time: <*>",56826
186,<*> 2017-05-16 <*> 2931 INFO <*> <*> - - - - -] <*> <*> <*> <*> <*> <*>,6564
187,<*> <*> <*> 2931 ERROR oslo_service.periodic_task [req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -] Error during ComputeManager._run_image_cache_manager_pass,8
188,<*> <*> <*> <*> ERROR keystonemiddleware.auth_token <*> 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] Bad response code while validating token: 503,2
189,"<*> <*> <*> <*> WARNING keystonemiddleware.auth_token <*> 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] Identity response: <!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML 2.0//EN"">",2
190,<*> <*> <*> <*> CRITICAL keystonemiddleware.auth_token <*> 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] Unable to validate token: Failed to fetch token data from identity server,2
191,<*> 2017-05-17 <*> 2931 INFO <*> <*> - - - - -] <*> <*> <*> <*> <*> <*>,2780
192,"<*> 2017-05-17 <*> <*> INFO <*> <*> <*> <*> - - -] <*> <*> <*> HTTP/1.1"" status: <*> len: <*> time: <*>",24140
